,NBC News News
0,https://www.nbcnews.com/?icid=nav_bar_logo
1,https://www.nbcnews.com/health/coronavirus
2,https://www.nbcnews.com/politics
3,https://www.nbcnews.com/us-news
4,https://www.nbcnews.com/world
5,https://www.nbcnews.com/think
6,https://www.nbcnews.com/business
7,javascript:void(0);
8,javascript:void(0);
9,javascript:void(0);
10,javascript:void(0);
11,https://www.nbcnews.com/health/coronavirus
12,https://www.nbcnews.com/us-news
13,https://www.nbcnews.com/politics
14,https://www.nbcnews.com/news/world
15,https://www.nbcnews.com/local
16,https://www.nbcnews.com/business
17,https://www.nbcnews.com/health
18,https://www.nbcnews.com/investigations
19,https://www.nbcnews.com/culture-matters
20,https://www.nbcnews.com/science
21,https://www.nbcsports.com/?cid=eref:nbcnews:text
22,https://www.nbcnews.com/tech-media
23,https://www.nbcnews.com/politics/2020-election
24,https://www.nbcnews.com/video-features
25,https://www.nbcnews.com/photos
26,https://www.nbcnews.com/weather
27,https://www.nbcnews.com/select
28,https://www.nbcnews.com/asian-america
29,https://www.nbcnews.com/nbcblk
30,https://www.nbcnews.com/latino
31,https://www.nbcnews.com/nbc-out
32,https://www.today.com
33,https://www.msnbc.com
34,https://www.nbcnews.com/nightly-news
35,https://www.nbcnews.com/meet-the-press
36,https://www.nbcnews.com/dateline
37,https://www.nbcnews.com/now
38,https://www.nbcnews.com/think
39,https://www.nbcnews.com/better
40,https://www.nbcnews.com/nightly-films
41,https://www.snapchat.com/add/Stay-Tuned/8367265869
42,https://www.nbcnews.com/specials
43,https://www.nbcnews.com/newsletters
44,https://www.nbcnews.com/podcasts
45,https://www.cnbc.com
46,https://www.nbc.com
47,https://www.youtube.com/c/Nbclearn/playlists
48,https://www.peacocktv.com?cid=20200715takeflightoneedi027&utm_source=nbcnews&utm_medium=symphony_display_homepagetakeover_link&utm_campaign=20200715takeflight&utm_term=weblink&utm_content=navlink
49,https://veterans.nbcnews.com
50,https://www.parenttoolkit.com
51,https://www.nbcnews.com/archive
52,https://nbcnews.zendesk.com/hc/en-us
53,http://www.facebook.com/nbcnews
54,https://www.twitter.com/nbcnews
55,https://secure.nbcnews.com/_tps/accounts/newsletters
56,javascript:void(0);
57,javascript:void(0);
58,javascript:void(0);
59,javascript:void(0);
60,javascript:void(0);
61,javascript:void(0);
62,javascript:void(0);
63,javascript:void(0);
64,javascript:void(0);
65,javascript:void(0);
66,javascript:void(0);
67,https://id.nbcnews.com/my-account?brand=nbc-news
68,https://id.nbcnews.com/email-preferences?brand=nbc-news
69,https://www.nbcnews.com/politics/congress/oath-keeper-leader-10-others-charged-seditious-conspiracy-jan-6-n1287434
70,https://www.nbcnews.com/politics/congress
71,https://www.nbcnews.com/politics/congress/oath-keeper-leader-10-others-charged-seditious-conspiracy-jan-6-n1287434
72,https://www.nbcnews.com/politics/congress/jan-6-committee-seeks-information-house-gop-leader-mccarthy-n1287384
73,https://www.nbcnews.com/politics/congress/jan-6-committee-dismisses-ray-epps-conspiracy-theory-issues-new-n1287335
74,https://www.nbcnews.com/news/world/boris-johnsons-prime-minister-party-covid-coronavirus-analysis-rcna12063
75,https://www.nbcnews.com/health/coronavirus
76,https://www.nbcnews.com/news/world/boris-johnsons-prime-minister-party-covid-coronavirus-analysis-rcna12063
77,https://www.nbcnews.com/news/world/uk-prime-minister-boris-johnson-fighting-premiership-covid-party-scand-rcna11886
78,https://www.nbcnews.com/news/world/prince-andrew-stripped-military-affiliations-queen-elizabeth-rcna12113
79,https://www.nbcnews.com/world
80,https://www.nbcnews.com/news/world/prince-andrew-stripped-military-affiliations-queen-elizabeth-rcna12113
81,https://www.nbcnews.com/news/world/judge-rejects-prince-andrew-dismiss-sexual-abuse-suit-virginia-giuffre-rcna11919
82,https://www.nbcnews.com/politics/elections/rnc-threatens-bar-candidates-participating-official-presidential-debates-n1287427
83,https://www.nbcnews.com/politics/elections/
84,https://www.nbcnews.com/politics/elections/rnc-threatens-bar-candidates-participating-official-presidential-debates-n1287427
85,https://www.nbcnews.com/politics/national-security/if-russia-launches-attack-ukraine-what-might-it-look-here-n1287369
86,https://www.nbcnews.com/politics/national-security
87,https://www.nbcnews.com/politics/national-security/if-russia-launches-attack-ukraine-what-might-it-look-here-n1287369
88,https://www.nbcnews.com/science/environment/ocean-heat-hit-record-high-2021-earth-warms-noaa-says-rcna12079
89,https://www.nbcnews.com/climate-in-crisis
90,https://www.nbcnews.com/science/environment/ocean-heat-hit-record-high-2021-earth-warms-noaa-says-rcna12079
91,https://www.nbcnews.com/news/us-news/report-finds-utah-police-made-mistakes-encounter-gabby-petito-brian-la-rcna12024
92,https://www.nbcnews.com/us-news
93,https://www.nbcnews.com/news/us-news/report-finds-utah-police-made-mistakes-encounter-gabby-petito-brian-la-rcna12024
94,https://www.nbcnews.com/news/nbcblk/-know-possible-japanese-americans-join-fight-reparations-rcna11256
95,https://www.nbcnews.com/nbcblk
96,https://www.nbcnews.com/news/nbcblk/-know-possible-japanese-americans-join-fight-reparations-rcna11256
97,https://www.nbcnews.com/pop-culture/pop-culture-news/kanye-west-considered-suspect-battery-investigation-rcna12117
98,https://www.nbcnews.com/pop-culture/pop-culture-news
99,https://www.nbcnews.com/pop-culture/pop-culture-news/kanye-west-considered-suspect-battery-investigation-rcna12117
100,https://www.nbcnews.com/nbc-out/out-politics-and-policy/national-blood-crisis-reignites-calls-fda-end-gay-donor-restrictions-rcna11918
101,https://www.nbcnews.com/nbc-out/out-politics-and-policy/national-blood-crisis-reignites-calls-fda-end-gay-donor-restrictions-rcna11918
102,https://www.nbcnews.com/nbc-out/out-politics-and-policy/national-blood-crisis-reignites-calls-fda-end-gay-donor-restrictions-rcna11918
103,https://www.nbcnews.com/news/us-news/jason-momoa-lisa-bonet-split-16-years-together-rcna12033
104,https://www.nbcnews.com/us-news
105,https://www.nbcnews.com/news/us-news/jason-momoa-lisa-bonet-split-16-years-together-rcna12033
106,https://www.nbcnews.com/news/us-news/man-found-alive-scotland-faking-death-evade-us-sex-assault-charges-off-rcna12088
107,https://www.nbcnews.com/nbc-out/out-news/australian-man-convicted-decades-old-gay-hate-murder-american-rcna12077
108,https://www.nbcnews.com/news/us-news/3-children-age-8-found-dead-california-apartment-deputies-say-rcna12065
109,https://www.nbcnews.com/news/china/woman-china-stuck-blind-dates-home-sudden-covid-lockdown-rcna12042
110,https://www.nbcnews.com/think
111,https://www.nbcnews.com/think/opinion/hbo-max-s-peacemaker-stars-john-cena-very-unlikely-anti-ncna1287420
112,https://www.nbcnews.com/think/opinion/hbo-max-s-peacemaker-stars-john-cena-very-unlikely-anti-ncna1287420
113,https://www.nbcnews.com/think/opinion/dr-fauci-sen-rand-paul-s-recent-tense-exchange-over-ncna1287366
114,https://www.nbcnews.com/think/opinion/dr-fauci-sen-rand-paul-s-recent-tense-exchange-over-ncna1287366
115,https://www.nbcnews.com/think/opinion/covid-19-omicron-variant-spread-shows-urgent-need-global-pathogen-ncna1287356
116,https://www.nbcnews.com/think/opinion/covid-19-omicron-variant-spread-shows-urgent-need-global-pathogen-ncna1287356
117,https://www.nbcnews.com/think/opinion/biden-speech-backing-voting-rights-bill-what-activists-needed-why-ncna1287337
118,https://www.nbcnews.com/think/opinion/biden-speech-backing-voting-rights-bill-what-activists-needed-why-ncna1287337
119,https://www.nbcnews.com/think/opinion/robert-durst-dead-78-convicted-killer-i-shared-doctor-i-ncna1287336
120,https://www.nbcnews.com/think/opinion/robert-durst-dead-78-convicted-killer-i-shared-doctor-i-ncna1287336
121,https://www.nbcnews.com/think/opinion/u-s-diplomacy-russia-ukraine-has-been-careful-kazakhstan-not-ncna1287264
122,https://www.nbcnews.com/think/opinion/u-s-diplomacy-russia-ukraine-has-been-careful-kazakhstan-not-ncna1287264
123,https://www.nbcnews.com/politics
124,https://www.nbcnews.com/politics/congress/biden-make-direct-appeal-senate-democrats-pass-voting-rights-legislation-n1287407
125,https://www.nbcnews.com/politics/congress
126,https://www.nbcnews.com/politics/congress/biden-make-direct-appeal-senate-democrats-pass-voting-rights-legislation-n1287407
127,https://www.nbcnews.com/politics/elections/what-s-democrats-latest-voting-legislation-what-would-bills-do-n1287301
128,https://www.nbcnews.com/politics/elections/
129,https://www.nbcnews.com/politics/elections/what-s-democrats-latest-voting-legislation-what-would-bills-do-n1287301
130,https://www.nbcnews.com/politics/justice-department/matt-gaetz-s-ex-girlfriend-testifies-grand-jury-sex-trafficking-n1287352
131,https://www.nbcnews.com/politics/justice-department
132,https://www.nbcnews.com/politics/justice-department/matt-gaetz-s-ex-girlfriend-testifies-grand-jury-sex-trafficking-n1287352
133,https://www.nbcnews.com/latino
134,https://www.nbcnews.com/news/latino/not-enough-critics-say-proposed-pa-districts-limit-latino-representati-rcna11387
135,https://www.nbcnews.com/politics/congress
136,https://www.nbcnews.com/politics/congress/mcconnell-calls-biden-s-voting-rights-speech-profoundly-unpresidential-n1287368
137,https://www.nbcnews.com/latino
138,https://www.nbcnews.com/news/latino/not-enough-critics-say-proposed-pa-districts-limit-latino-representati-rcna11387
139,https://www.nbcnews.com/politics/congress
140,https://www.nbcnews.com/politics/congress/mcconnell-calls-biden-s-voting-rights-speech-profoundly-unpresidential-n1287368
141,https://www.nbcnews.com/health/coronavirus
142,https://www.nbcnews.com/business/business-news/why-store-shelves-are-empty-omicron-bad-weather-hurt-supply-chain-rcna11859
143,https://www.nbcnews.com/health/coronavirus
144,https://www.nbcnews.com/business/business-news/why-store-shelves-are-empty-omicron-bad-weather-hurt-supply-chain-rcna11859
145,https://www.nbcnews.com/news/sports/australian-open-draw-delayed-uncertainty-djokovic-rcna12034
146,https://www.nbcnews.com/health/coronavirus
147,https://www.nbcnews.com/news/sports/australian-open-draw-delayed-uncertainty-djokovic-rcna12034
148,https://www.nbcnews.com/business/business-news/omicron-creating-crisis-red-tier-situation-health-care-rcna11440
149,https://www.nbcnews.com/health/coronavirus
150,https://www.nbcnews.com/business/business-news/omicron-creating-crisis-red-tier-situation-health-care-rcna11440
151,https://www.nbcnews.com/news/us-news/labor-shortage-us-army-offers-largest-enlistment-bonus-ever-rcna12012
152,https://www.nbcnews.com/health/coronavirus
153,https://www.nbcnews.com/news/us-news/labor-shortage-us-army-offers-largest-enlistment-bonus-ever-rcna12012
154,https://www.nbcnews.com/the-data-point
155,https://www.nbcnews.com/news/us-news/child-covid-vaccinations-uneven-start-southern-states-lag-n1287394
156,https://www.nbcnews.com/health/coronavirus
157,https://www.nbcnews.com/news/us-news/evictions-ramp-states-pandemic-moratoriums-come-end-rcna11953
158,https://www.nbcnews.com/health/coronavirus
159,https://www.nbcnews.com/news/us-news/west-virginia-governor-says-feels-extremely-unwell-covid-diagnosis-rcna11935
160,https://www.nbcnews.com/news/us-news/federal-bureau-prisons-biden-rcna11196
161,https://www.nbcnews.com/us-news
162,https://www.nbcnews.com/news/us-news/federal-bureau-prisons-biden-rcna11196
163,https://www.nbcnews.com/science/space/water-vapor-found-another-planets-atmosphere-rcna11950
164,https://www.nbcnews.com/science/space
165,https://www.nbcnews.com/science/space/water-vapor-found-another-planets-atmosphere-rcna11950
166,https://www.nbcnews.com/science/space/booms-bubble-supernovas-shaped-galactic-neighborhood-rcna11771
167,https://www.nbcnews.com/news/nbcblk/tenants-no-choice-racism-urban-planning-fuels-high-rate-black-fire-dea-rcna11986
168,https://www.nbcnews.com/nbcblk
169,https://www.nbcnews.com/news/nbcblk/tenants-no-choice-racism-urban-planning-fuels-high-rate-black-fire-dea-rcna11986
170,https://www.nbcnews.com/news/us-news/penn-legislature-ignored-bill-might-prevented-deadly-philly-fire-rcna11932
171,https://www.today.com/video/ronnie-spector-be-my-baby-singer-dies-at-78-130767941977
172,https://www.today.com/video/ronnie-spector-be-my-baby-singer-dies-at-78-130767941977
173,https://www.today.com/video/ronnie-spector-be-my-baby-singer-dies-at-78-130767941977
174,https://www.nbcnews.com/video/heavy-rain-leads-to-landslides-floods-in-southeastern-brazil-130761285950
175,https://www.nbcnews.com/video/heavy-rain-leads-to-landslides-floods-in-southeastern-brazil-130761285950
176,https://www.nbcnews.com/video/heavy-rain-leads-to-landslides-floods-in-southeastern-brazil-130761285950
177,https://www.nbcnews.com/video/djokovic-s-fate-uncertain-as-lawmaker-says-just-get-vaccinated-130760261518
178,https://www.nbcnews.com/video/djokovic-s-fate-uncertain-as-lawmaker-says-just-get-vaccinated-130760261518
179,https://www.nbcnews.com/video/djokovic-s-fate-uncertain-as-lawmaker-says-just-get-vaccinated-130760261518
180,https://www.nbcnews.com/nightly-news/video/yankees-announce-first-woman-to-manage-minor-league-baseball-team-130735173695
181,https://www.nbcnews.com/nightly-news/video/yankees-announce-first-woman-to-manage-minor-league-baseball-team-130735173695
182,https://www.nbcnews.com/nightly-news/video/yankees-announce-first-woman-to-manage-minor-league-baseball-team-130735173695
183,https://www.nbcnews.com/news/world/prehistoric-sea-dragon-ichthyosaur-fossil-discovered-uk-reservoir-rcna11565
184,https://www.nbcnews.com/world
185,https://www.nbcnews.com/news/world/prehistoric-sea-dragon-ichthyosaur-fossil-discovered-uk-reservoir-rcna11565
186,https://www.nbcnews.com/tech/tech-news/gifted-dna-tests-are-leading-family-surprises-lawsuits-lawyers-say-rcna9545
187,https://www.nbcnews.com/tech/tech-news
188,https://www.nbcnews.com/tech/tech-news/gifted-dna-tests-are-leading-family-surprises-lawsuits-lawyers-say-rcna9545
189,https://www.nbcnews.com/pop-culture/pop-culture-news/lasting-friendship-bob-saget-norm-macdonald-rcna11778
190,https://www.nbcnews.com/culture-matters
191,https://www.nbcnews.com/pop-culture/pop-culture-news/lasting-friendship-bob-saget-norm-macdonald-rcna11778
192,https://www.nbcnews.com/news/world/burned-buildings-violent-protests-chaos-kazakhstan-rcna11154
193,https://www.nbcnews.com/world
194,https://www.nbcnews.com/news/world/burned-buildings-violent-protests-chaos-kazakhstan-rcna11154
195,https://www.nbcnews.com/science/space/astronomers-witness-explosive-death-giant-star-first-time-rcna11830
196,https://www.nbcnews.com/science/space
197,https://www.nbcnews.com/science/space/astronomers-witness-explosive-death-giant-star-first-time-rcna11830
198,https://www.nbcnews.com/politics/white-house/we-have-gone-backwards-covid-confusion-snarls-biden-white-house-n1287282
199,https://www.nbcnews.com/health/coronavirus
200,https://www.nbcnews.com/politics/white-house/we-have-gone-backwards-covid-confusion-snarls-biden-white-house-n1287282
201,https://www.nbcnews.com/pop-culture/pop-culture-news/chip-joanna-gaines-magnolia-network-pulls-show-homeowners-complain-nig-rcna11422
202,https://www.nbcnews.com/culture-matters
203,https://www.nbcnews.com/pop-culture/pop-culture-news/chip-joanna-gaines-magnolia-network-pulls-show-homeowners-complain-nig-rcna11422
204,https://www.nbcnews.com/health/health-news/arbitrary-cutoffs-thc-levels-make-difficult-measure-impaired-driving-rcna11654
205,https://www.nbcnews.com/health/health-news
206,https://www.nbcnews.com/health/health-news/arbitrary-cutoffs-thc-levels-make-difficult-measure-impaired-driving-rcna11654
207,https://www.nbcnews.com/nightly-news/video/speaker-pelosi-on-capitol-attack-it-breaks-your-heart-130281029767
208,https://www.nbcnews.com/nightly-news/video/speaker-pelosi-on-capitol-attack-it-breaks-your-heart-130281029767
